id;datumaanvanggeldigheidverlies;datumeindegeldigheidverlies;omschrijvingverlies;redennummerverlies
1;2024-05-05;2024-05-06;huzzah beside thrifty;furthermore
2;2024-05-06;2024-05-05;whoever willfully for;along drat midst
3;2024-05-06;2024-05-05;ew offensively among;shingle gleefully
4;2024-05-06;2024-05-06;whoever woot;outside atelier frequent
5;2024-05-06;2024-05-05;gah ponce hungrily;plus bah braid
6;2024-05-05;2024-05-06;pseudoscience continually;dispatch
7;2024-05-05;2024-05-05;wherever;yuck
8;2024-05-06;2024-05-05;cheerfully repulse astrolabe;graffiti oof junk
9;2024-05-06;2024-05-06;stability pursuit;geez incidentally
10;2024-05-06;2024-05-05;partially like tattle;sniffle loosely freak
