id;afvoeren;bereikbaarheid;ecologischbeheer;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;kweker;leverancier;eobjectnummer;soortnaam;typestandplaats;typestandplaatsplus;vegetatieobjectbereikbaarheidplus
1;false;longingly diligently;false;at by;nourish rigidly;unto interestingly;through reassuringly yippee;upbraid superpose;whirlwind;sedately beneath widow;midst;even when
2;false;gah deprive;false;bright;carabao;finally;revalue anti defensive;negative;how;ha threadbare considering;the unaware a;consequently researcher duh
3;false;well-worn psst;false;demobilize;including before;lest premier craft;usually courteous however;now whoa;medicine update;likewise;hmph since;ouch including
4;true;without jail;true;boohoo pollution yahoo;chit-chat sometimes huzzah;julienne;ouch whether muffled;from drat besides;mute wean;whenever stutter institute;sane unlike;under tightly athwart
5;true;gee point;false;grown;um;or blaring;geez lavish gadzooks;per whose lifetime;drat;unless tan governor;grimy sympathetic;on
6;true;disguise;true;annually orientation crackle;amongst;tremor and;if;but from;mandolin circa ha;incidentally;blissful woefully;ferment as cold
7;false;sweep candle inasmuch;false;aside because phew;cap whose without;yuck;supposing dumbwaiter;communicate;bottling if survive;pasta;sleuth;than
8;true;pish bratwurst printer;false;whether;warlike;limply known medical;infiltrate objectify rope;likewise;booster this;failing whoever;afore ack;oof complete buggy
9;false;conservation;true;hostess officially;immaterial longingly;modern masculinize health-care;oof gadzooks;wound sandpaper;hmph velvety;flute solve;the entreat immediate;bribery within namecheck
10;true;factor drawer;true;slowly will boldly;generous;fooey needily however;gadzooks;save;well-lit including;gall combine;likewise cruelly regarding;considering
