id;code;naam;omschrijving;regeling;regelingcode;vergoeding;vergoedingscode;wet
1;bulky;zowie;goggle;woot before salve;um;ick;youthfully;midst uh-huh
2;kiddingly anti;bread;allude;nippy rudely huzzah;grimy psst;partially;duh anti;wildly
3;while heavily ah;apud;verbalize;absent imbibe;pitiful delayed;octave examine;enmesh wannabe unfor;boyfriend frail
4;even;blather grandiose dramatic;model whoa shameless;ew international qua;zowie fry popsicle;resume that;hydroxyl why;fervently aside who
5;and above whenever;unlike chronicle;fluffy when pluralize;indeed playground;mascara decry reshuf;exhausted ah analogy;courageously unwrap;fiesta
6;solicitor wasabi sol;whenever tenet accost;shoestring muffled next;save concrete pilaf;an;a wreathe;finally successfully;jet
7;insubstantial loving;sweaty less when;delegate;supposing opposite aboard;meh;likewise plead twister;over aside consequen;bah
8;bid repay original;furthermore;concur or;celebrate;broadly;with yum explode;fox watch aw;solicitor
9;when beatbox solidly;unnecessarily bad damaged;austere whereas that;over;excitedly;impartial synergy;incidentally regain ;sleepy
10;predecease foment;until mmm pro;throughout hmph ensue;blah uh-huh;weasel wingman;supreme what;aside;other any zowie
