id;archiefnummer;naam;omschrijving;openbaarheidsbeperking
1;neat hungrily walk;skinny;insure squiggly agent;above
2;drat;sweltering;throughout muffled whoa;how ideal holder
3;cable when;too frugal;whoa merge;shrivel oof however
4;promotion;ew;self-esteem present;eavesdrop lazily sans
5;when through;sleepily um indeed;whether academics;upon before
6;consequently whoa fo;unlawful opposite aha;visor;gadzooks midst
7;frantically;programme taste;lest cultured grotesque;vacate um
8;heroine yippee shame;soon bark valid;peek among;bolt whopping
9;fishing content inte;where;dishonest molar;essential
10;admission discourse;spectacles naturally spurt;hence in;flimsy an and
