id;alias;eaguid;naam;stereotype;toelichting
3f97c474-a9bf-4651-931f-47c23116dfe1;instead feline while;truthfully;so;at pro;liquid unionise eek
d35194fe-9182-4ced-aa9b-f1ce35e6d21a;gladly;vacantly rescue bold;biopsy brown;over what;peek ha
56af525b-93b2-4822-8f88-469e7745a787;until;grieve fawn readily;watchful lest often;bookend;how uh-huh
bba2c6f9-badd-420e-a0bd-4e4bcd70fc4a;arrogantly eventually;angrily aggressive;early definite sleepily;atop lack cheerfully;an inasmuch instead
7540ba45-25f0-4305-9c83-a78c8f0d1ca7;entrench;politicize;opposite;gosh;forswear before
c892ccb5-a143-424e-88d3-7d7784ce7f55;courageously phooey eek;present;justly;truly hamburger;for
bf59062d-64ff-46ee-9101-5447dddc7140;uh-huh;mid;too shade damaged;for that single;absolve vice absent
d04d189a-6679-4624-935e-3f6aa42d6e02;major blunder fantasy;roost brr;luxurious overheat;phooey pfft yippee;under adventurously
4b58e1f1-c449-4a14-8792-3aa1b5fcbb10;along;immunize lyocell system;good urgency angrily;chilly instantly silky;yoga er utilize
4a4850c0-5588-4356-a3ea-8046b7fd470c;purity hunting;not especially merry;gah;foal open;flicker qua quick
