id;breedte;hoogte;kleur;lengte;naamvaartuig;registratienummer
1;gibber as cheap;grizzled arrogantly;onto outlying justly;doubtfully;crouch;fibre yet catastrophe
2;cleverly ferociously;relieved agitated bitterly;far lest;atmosphere uh-huh tweezers;aha;cultivated without
3;familiarise;tutu;guilty disposal slee;hmph supervene;eek;since
4;parse blah wrong;yippee ack upbeat;miracle;yellow er;pretty per amongst;boohoo disguised bagel
5;oof;scowl;lest;whoa;recklessly;ick ick
6;once yahoo than;pfft valuable painfully;behind;mammoth;but;boo
7;only;whenever lest;gadzooks;at after;hence especially tremendously;same nitrogen oddly
8;promptly where ew;acrylic;pfft sweater prestig;hence harp;with live;glum unique kindheartedly
9;reproachfully;silver;incidentally nest pu;phew about ew;that;incorporate
10;across;since guard;to;yearningly feline;excluding finally beg;pish
