id;achternaam;datumaanstelling;datumuittreding;fractie;titel;voornaam
1;for jagged pfft;2024-05-06;2024-05-05;incision;eek ramp puzzled;er commonly over
2;deeply whirlwind cash;2024-05-05;2024-05-05;hemisphere opponent bah;multicolored frequent carefree;huge briefly individual
3;really ha;2024-05-05;2024-05-06;about against;append hum yippee;meanwhile in for
4;er rabbi oh;2024-05-05;2024-05-06;pish naive;apropos;shin while incidentally
5;skean migrate zowie;2024-05-06;2024-05-05;while bust underneath;within powerfully;eek
6;easily gah drat;2024-05-05;2024-05-05;gosh inwardly;and;aromatic
7;colligate;2024-05-06;2024-05-06;calorie poorly inside;paste ha;opposite osmosis
8;tomorrow whenever;2024-05-05;2024-05-06;wherever;up how aside;vein boo
9;yet huzzah sidestep;2024-05-05;2024-05-06;necessary;foreground wholly beyond;boo fairly good
10;madly wherever eek;2024-05-06;2024-05-06;austere polliwog crazy;sometimes out between;gabble mandolin scaffold
