id;aantalparkeervlakken;alleendagtarief;dagtarief;eindedag;eindtijd;gebruik;geometrie;ipmcode;ipmnaam;naam;parkeergarage;sectorcode;soortcode;startdag;starttarief;starttijd;typecode;typenaam;uurtarief
1;ack backup phooey;true;1924.11;titter usefully;if;longitude;once hmph personnel;ugh;under finally;gosh;false;quintessential;preserve straight;unto;882.59;yack illustrate quarrelsomely;violently;soupy faraway dull;23103.78
2;over;false;30192.1;hastily furthermore ;whoever geez likely;immediately;good;maestro;idolized really;worriedly even sedately;true;indeed;above with;beautiful that below;21225.89;hm puzzling launch;by red mall;whether than;7014.93
3;per at;false;5597.17;designation trolley;every eventually woot;outside;whose bayou technology;over whereas buddy;entertain by;furthermore jot;false;alb rationalise;assured;but incidentally dis;25732.43;orchard acidly;for polished pocket;who phew;11432.42
4;afore specific;true;16677.38;gaseous french under;nervously;commander openly write;mmm inasmuch;unacceptable;wisely wetly brr;or immediate thirsty;false;boo rubber;knottily nearly cleric;rudely deconstruct b;14682;whether;close;furthermore hungrily;15038.43
5;wrong;false;15672.7;honored;clueless spiral;bottom;decide monthly during;fooey who;righteously bug;yippee;true;who drat affectionate;unlike dollarise;sometimes finally ju;22775.33;yippee plus sandy;tiny enthusiastically barring;dig;24623.61
6;currency clamp pish;true;8096.89;both buckle;whereas;spectate;times;wrathful however second-hand;can orchestra;suddenly hastily;true;openly notwithstanding since;unbearably;yum geez;21618.18;almost;once pish;contraindicate yippee;1160.28
7;pile;false;24633.26;since provided;softly ack;huzzah;briefly footwear;sans;difficult and natural;gadzooks;false;below yowza who;tranquillize kissingly;under;1206.47;except complete unlike;frantically;mid oh;3719.03
8;unnecessarily;true;22834.34;illustrious;shape;meat vice baggy;queasily;redistribute;why times;teeming;true;once astride unimpressively;willing bah;sympathetic fiery wo;11575.69;um loft except;properly video;hex;1707.85
9;so an;false;26329.94;rapidly;unimpressively;buzzing farm;thermostat beset;arm poised relay;lovingly sneaker toward;jubilantly um over;true;undercharge instantly excepting;huzzah so psst;decent;14509.65;assault since;butterfly trammel;while;29239.91
10;gadzooks gee warlike;true;1985.35;yum mismanage;insecure bitterly redress;or;ugh wealthy hubcap;vermicelli sphere;ha thatch;gussy concerning excursion;false;action;exchange;deep vaguely yum;17594.19;prairie what ornate;violently partition;uselessly;17790.21
