id;beoogdelooptijd;beoogdetotaleopdrachtwaarde;indicatieaanvullendeopdrachtleverancier;indicatiebeoogdeaanbestedingonderhands;indicatiebeoogdeprockomtovereen;indicatieeenmaligelos;indicatiemeerjarigeraamovereenkomst;indicatiemeerjarigrepeterend;indicatoroverkoepelendproject;omschrijving;opdrachtcategorie;opdrachtsoort;toelichtingaanvullendeopdracht;toelichtingeenmaligofrepeterend
1;unto;8845.68;false;around;false;ouch failing;true;from;impede cruelly;onto facilitate autumn;itemize average alternate;till;ascend;gosh chrysalis which
2;remorseful uh-huh till;30950.43;false;aw mandarin however;true;aha;true;joshingly repeatedly apropos;essential nation;inside mid premium;collar regarding;marshmallow obvious;inside plunger kindly;fooey mediocre
3;yahoo runny;28080.38;false;quixotic treble gullible;true;sans to luxuriate;false;careful ouch;whether far despite;really;hyphenation;thoroughly;adjudicate hm violet;ouch content toffee
4;once;14301.65;true;because regale;true;juvenile boo;false;king pro blanket;conflict;geez which pfft;very outline;data beneath innocently;judgementally comfortable;oh
5;everything;22482.82;true;loyally ratchet;false;round;true;assured hospitalization;yahoo;foolishly;circa gosh;majestically;sentiment instead;punctual
6;necklace;5558.01;false;into;false;with;true;once;who;psst for;boohoo;until questionably;until;um or
7;nor;16580.09;false;quarrelsomely however while;false;nurture kindly;false;importance embellished;mixer honesty altruistic;dearly;forenenst;scenery;even;gah
8;whether cough;21628;false;illiterate;true;ouch retort near;false;whether although inasmuch;fuel notwithstanding;oof;astride;circular tensely loggia;pro punctual;mid expedite
9;statute;32261.31;true;ready amid;false;debut;false;crowded;quack meanwhile webinar;um gosh;orderly;because excepting provided;apud round;oh opposite
10;soon since;4242.6;true;sadly yowza because;true;boohoo bacon brand;true;till mill thoughtfully;clarify huzzah;as can;upliftingly winnow affront;greedily;youthfully er where;migration tobacco however
