id;datumeindesbiactiviteit;datumingangsbiactiviteit;hoofdniveau;hoofdniveauomschrijving;naamactiviteit;sbicode;sbigroep;sbigroepomschrijving
1;2024-05-06;2024-05-05;toggle offering oh;burro;entertainment;pipe cold;trace virt;exhibit
2;2024-05-05;2024-05-06;caption;terrarium;whenever;quintessen;who ah vai;silent altruistic
3;2024-05-05;2024-05-06;crafty unethically failing;detach provided;till resurrect psst;mmm;boo meanwh;um seldom
4;2024-05-06;2024-05-06;carburize appetiser;lest merrily;so;apropos wh;experience;defiantly who
5;2024-05-06;2024-05-05;but gee barring;vulture briefing;aid hedge deploy;mansion wh;till ugh k;fuss
6;2024-05-06;2024-05-05;bravely alongside talent;scam pfft;now;tremendous;numeric un;wrongly
7;2024-05-05;2024-05-05;instead when;improvise down eyeglasses;seat gadzooks hourly;at duh fla;deliberate;supposing dole vice
8;2024-05-06;2024-05-06;now;original;honeymoon up;flimsy con;beside int;irony
9;2024-05-06;2024-05-06;rare rudely;gee demystify;ah codepage zowie;correctly ;swiftly fa;yuck able annually
10;2024-05-06;2024-05-06;repeatedly yahoo;aha;solidly;down thoug;inasmuch;concerning
