id;datumbegingeldigheidondersteunendwegdeel;datumeindegeldigheidondersteunendwegdeel;functieondersteunendwegdeel;fysiekvoorkomenondersteunendwegdeel;geometrieondersteunendwegdeel;identificatieondersteunendwegdeel;kruinlijngeometrieondersteunendwegdeel;lod_0_geometrieondersteunendwegdeel;ondersteunendwegdeeloptalud;plusfunctieondersteunendwegdeel;plusfysiekvoorkomenondersteunendwegdeel;relatievehoogteliggingondersteunendwegdeel;statusondersteunendwegdeel
1;2024-05-05;2024-05-05;defragment;than wherever;er wholly;disdain a;silly politely concept;radio;incidentally;courageously oh noteworthy;yippee on likewise;meanwhile;burble since unaccountably
2;2024-05-06;2024-05-06;powerfully supposing attacker;including following eek;excluding;lightly;hungrily via;badly;where given;gee;thoughtful nearly whether;since;dirndl
3;2024-05-05;2024-05-05;before;recount aside yawningly;sans nor intently;at engage;however usually roof;apropos towards;obediently immediate;however longingly;demonize stammer hence;radiosonde;finally phooey
4;2024-05-06;2024-05-06;nix illiterate;with spec sheathe;ugh digital;gleaming;rotating who aha;but;chill;bravely besides;worthwhile;regarding needily provided;but
5;2024-05-05;2024-05-06;after;that;though;coerce clearly the;nor than;requite;notwithstanding ew blissfully;where next meanwhile;blah;joyously down;sparse beneath
6;2024-05-05;2024-05-05;cholesterol within;loudly times indulge;to;barring;broadly;phooey;wearily sleepily considering;panel full;negligible wherever;back mantle;why for
7;2024-05-06;2024-05-05;till;lest;when nor;excepting though regarding;stress tights;concerning in absentmindedly;but;adored;if;incidentally yowza;oof
8;2024-05-05;2024-05-05;feeding bah;torso;plus;whereas soupy whose;upshift yum;however fortunate;under instantly;upside-down hmph;carelessly yowza reinterpret;ew;from
9;2024-05-06;2024-05-06;furiously wilt listening;once roughly incidentally;since comfortable;prey er helplessly;behind renounce wrongly;boastfully barring along;tall yummy;around;weight gracefully unveil;ew pish;meanwhile
10;2024-05-06;2024-05-06;zowie server last;peek;whose beautifully;brightly;but appropriate;water incidentally hospitalization;inside for entrust;untried amongst aw;gyro excellent because;claim jaggedly;fiercely direct
