id;datumeindeprovincie;datumingangprovincie;hoofdstad;oppervlakte;oppervlakteland;provinciecode;provincienaam
1;2024-05-06;2024-05-06;although excepting hmph;anguish;whereas bah;prickly;exactly given
2;2024-05-06;2024-05-05;bright overexpose supposing;after gee;bed;including mishit;yearningly adsorb
3;2024-05-06;2024-05-06;authentication;eek;or;whether despite;safeguard caterpillar
4;2024-05-05;2024-05-06;until;if flawless;head;hmph urban about;after giddy whereas
5;2024-05-06;2024-05-06;swift;per broadly;shakily;across likely;boo
6;2024-05-06;2024-05-06;for;sky consequently;now;licorice provided;stability stalk specific
7;2024-05-05;2024-05-05;aboard angrily yesterday;and;minus from;joyously beloved;supposing who mouton
8;2024-05-06;2024-05-05;initial;strident gee;gap above;scene prize;lustrous familiar coke
9;2024-05-05;2024-05-06;wherever grumpy;colorfully prejudge;on unimpressively tightly;unless networking whereas;ack mop
10;2024-05-05;2024-05-05;consecrate misty;oof annually underneath;geez choice;boldly ick;nifty whereas
