id;nummer;omschrijving;titel
1;wide-eyed questionably up;dictate oh;ouch shoat
2;trivialise;examiner daily athwart;consequently painfully blah
3;gateway juicy ah;restfully hint inasmuch;till onset
4;hence;which oh eek;grandmother
5;weather sadly easy;airbrush frightfully dense;oyster repossess mockingly
6;splendid reclaim;out yet;brr per
7;regarding comfort hefty;indeed through aside;a alpaca
8;aw;amidst;when
9;cartoon ick wearily;incidentally vice;yuck whenever as
10;thumb forest;instead fooey;excluding woot ha
