id;aanduidingbijzondernederlanderschap;nationaliteit;redenverkrijgingnederlandsenationaliteit;redenverliesnederlandsenationaliteit
1;bull-fighter boohoo;pro;huzzah disastrous;around
2;distributor misapply unlike;along;painfully;pay besides among
3;utilized dart monster;how similar geez;yet than viciously;apud fairly until
4;whoa;clarification judgementally;breakable questioningly stunning;nose celebrity
5;if;who appetiser who;verification;angrily
6;once;evil;what;beneficial blank
7;rude;bet befriend;locust;pricey until
8;flippant;grey underpass weakly;absent amidst silk;frenetically suspenders how
9;whoa across;phew public pal;woot;phew repulse
10;abominate even;which;optimal;eek gap
