id;bedrag;datumeinde;datumstart;frequentie;identificatie;omschrijving;status;type
1;aside generously;2024-05-06;2024-05-05;pace;classic ick pfft;alongside authenticity prey;but;whoa
2;once brandish;2024-05-05;2024-05-06;rightfully;fond croon blah;assent okay urban;rigidly piggyback keelhaul;sure-footed scented
3;if hm;2024-05-05;2024-05-05;ah;dozen well-documented;tenderly;yippee virtuous but;object
4;um ha;2024-05-05;2024-05-06;eyelid;pfft moulder rid;run prowl;anti;fooey hm during
5;oversee pro;2024-05-06;2024-05-05;craft wordy;treasury;elaborate;migrant immediately glum;minus
6;kindly emery;2024-05-06;2024-05-06;photoshop;before brr bend;minty blissfully;ah anti throughout;scared
7;clench fob;2024-05-05;2024-05-05;coolly straight fooey;without before crossly;pecan;silt for although;yet
8;phew warren;2024-05-05;2024-05-05;phew fooey;far youthfully sectional;past meh;hoarse about smirk;because ouch
9;audit;2024-05-06;2024-05-06;whereas;correspondent clearly ha;hmph if perforate;during awesome;meditate fooey gallop
10;sympathetically whimsical;2024-05-05;2024-05-05;optimistically absent;oddly;pretty;unsightly;justly sans paradise
