id;huisletter;huisnummer;huisnummertoevoeging;postcode;straatnaam
1;along people retrospectivity;beyond;pontificate oh defiantly;after dimpled;boohoo oof dispute
2;ouch tragic;an;unimpressively utterly;extremely stingy;prince regionalism
3;lively scratch or;illusion elegantly;upliftingly bottom spree;attach neutralize how;before
4;destroyer deride;overconfidently jubilantly;sow spot ill;unto up wooden;meh amidst
5;valuable swing;baptise stealthily ew;against;ink sweltering campaign;indeed
6;whose correctly;persuade around pique;nor;unless;provided nor interestingly
7;crave thankfully;debilitate er;fairly underneath;clave;till down restate
8;well-groomed;never;by;upright while;marines
9;noisily trivial loads;blissfully upwardly broadly;whoever;supposing consequently woot;briskly
10;vehicle;except;ruffle aw ouch;politely shout who;at bullet
