id;datumgeconstateerd;datumopgelegd;omschrijving;reden
1;2024-05-05;2024-05-06;juvenile;inborn
2;2024-05-06;2024-05-05;since;capital
3;2024-05-05;2024-05-06;conservative airforce;gosh hence yowza
4;2024-05-05;2024-05-05;indeed;sprat supposing
5;2024-05-05;2024-05-05;buck wicked quirkily;versus
6;2024-05-06;2024-05-06;cleverly blah concerned;tray heavily
7;2024-05-06;2024-05-06;without beneath weakly;minty
8;2024-05-06;2024-05-05;after impractical after;though blah
9;2024-05-06;2024-05-05;reluctantly;decontaminate
10;2024-05-06;2024-05-06;psst pish overrule;furthermore upset really
