id;akrcode;codeakrkadadastralegemeentecode;datumbegingeldigheidakrcode;datumeindegeldigheidakrcode
1;pfft;though;2024-05-06;2024-05-05
2;rudely;drat agreeable;2024-05-06;2024-05-06
3;lively detour now;celebrated;2024-05-05;2024-05-05
4;amendment;illustrious;2024-05-05;2024-05-06
5;irritably;drat boycott;2024-05-05;2024-05-05
6;given whose;enforcement prevalence;2024-05-05;2024-05-05
7;start gah;furthermore;2024-05-06;2024-05-05
8;zowie uncommon;briefly ride phew;2024-05-05;2024-05-06
9;foolish maroon disastrous;instead warn automatic;2024-05-05;2024-05-06
10;generous bribery haste;sharply whether how;2024-05-05;2024-05-05
