id;datumbegingeldigheidonbegroeidterreindeel;datumeindegeldigheidonbegroeidterreindeel;fysiekvoorkomenonbegroeidterreindeel;geometrieonbegroeidterreindeel;identificatieonbegroeidterreindeel;kruinlijngeometrieonbegroeidterreindeel;onbegroeidterreindeeloptalud;plusfysiekvoorkomenonbegroeidterreindeel;relatievehoogteliggingonbegroeidterreindeel;statusonbegroeidterreindeel
1;2024-05-06;2024-05-05;about although;reconsider until narrow;support;professor weasel;after till some;sandblast;parrot;gleefully excepting credit
2;2024-05-06;2024-05-06;avocado mortified reckless;wise;prostrate;low;consolidate;urgently torn risk;elixir circular;dutiful
3;2024-05-05;2024-05-05;oof;these delve;of;throughout finally quarrelsomely;uh-huh;worth gift blah;quaintly;vandalize
4;2024-05-05;2024-05-06;than nor pro;tunic mid;woot gee;mist positively;forenenst soulful dimension;cello contrive inwardly;dough yippee;before
5;2024-05-06;2024-05-06;clatter;psst father;before;thorny finally helplessly;gosh;instead;communion quicker exactly;false asset
6;2024-05-05;2024-05-05;aside;insistent piety;lycra glaze loaf;once tamp until;lack;consequently incidentally;boo provided chop;bitten diaper
7;2024-05-06;2024-05-06;astride brr following;ick;absent actually centre;ocelot scarcely;discrepancy spiritual contrast;vice immediate;triumphantly winged nervously;which eek but
8;2024-05-06;2024-05-06;upright uh-huh;gadzooks because;what atop waste;deposit fast deserted;wholly scatter revolving;ew huzzah unto;from so;incline before
9;2024-05-05;2024-05-05;intermingle enormous;whenever;vanity amusing;since;suddenly;bah gadzooks;though er meh;zigzag
10;2024-05-05;2024-05-05;unsightly subtle that;a plus fatally;tremendous kindly;roast;how healthy fortunately;volleyball behove;scotch pace;within
