id;instituut;naam;omschrijving;prijs
1;once barley speedy;gallon brook ingrate;fooey gah caper;lest yuck date
2;nuke wherever;girdle dim edger;ugh atop irrigation;yowza frank
3;yummy hometown squeaky;majority overrate;vigilant;sympathise snare length
4;pristine yowza;library cane eek;athwart;lighthearted beyond agonizing
5;tomorrow;milky while hence;reshuffle neglected;gadzooks
6;yippee below;contribution celsius;circa supposing;mechanically vinegar ouch
7;dole;civilization film joyfully;atop helpfully;periodic
8;solemnly vibrant beet;glacier once;aw;once
9;as huzzah;rehospitalisation amid over;finance milky;softly nor
10;jubilant pish round;noisily smooch failing;whereas for annual;woot glittering modulo
