id;codeaardzakelijkrecht;datumbegingeldigheidaardzakelijkrecht;datumeindegeldigheidaardzakelijkrecht;naamaardzakelijkrecht
1;geez mechanically;2024-05-05;2024-05-06;ah
2;cherry;2024-05-05;2024-05-05;enthusiasm openly
3;infantile devoted;2024-05-05;2024-05-06;element intent
4;consequently obediently nod;2024-05-06;2024-05-05;appellation
5;but inasmuch upliftingly;2024-05-06;2024-05-05;sick gah
6;fooey;2024-05-06;2024-05-06;incidentally inside
7;lest past;2024-05-06;2024-05-05;consequently affair
8;fooey;2024-05-05;2024-05-05;likewise on
9;even;2024-05-05;2024-05-06;disincentivise whoever like
10;arrogantly total veneer;2024-05-05;2024-05-06;whet
