id;aanleverensrg;omschrijving;typetrajectsrg
1;now finally;ha fooey ah;besides poor
2;sharply geez disesta;intently gripping;absentmindedly clear
3;noisily;psst optimistically likewise;shaw without giggle
4;specialize;occasional;tightly
5;tinted yahoo primary;duh narrowcast;inasmuch blindly but
6;opening astride jot;why gall;titivate slight fran
7;overvalue astride ga;ick;however if worriedly
8;after though;regarding;illustration
9;rubberneck coo jagge;tenderly sedately;square bless hilario
10;brr;mansion;ah
