id;afmeting;bezittot;bezitvanaf;medium;verkrijging
1;since with substantial;2024-05-06;2024-05-06;alongside;ew
2;but whirlwind blah;2024-05-06;2024-05-05;gleaming than;ack principal into
3;round fire;2024-05-06;2024-05-05;alongside;smoothly
4;woot outside which;2024-05-06;2024-05-05;phooey inventory crisp;paw cuff
5;obediently;2024-05-05;2024-05-05;standard wonderfully potter;meow lively yuck
6;merge;2024-05-05;2024-05-05;oh brr;midst
7;obtain dearly or;2024-05-06;2024-05-06;ew delectable neuron;crumple
8;yahoo;2024-05-06;2024-05-06;drat incidentally unless;glaring
9;lest equip;2024-05-05;2024-05-05;retract deck;vice
10;until highly droopy;2024-05-06;2024-05-05;mild violently prosecutor;bah that ugh
