id;beschrijving;inventarisnummer;omvang;openbaarheidsbeperking;trefwoorden;uiterlijkevorm
1;knowledgeably per;trundle whether if;till confirm;airfreight;shiny absent;quizzically apud
2;alongside declutter utterly;confused yahoo how;beyond;warp what;verbally whoever;deselect
3;alongside repeatedly jumpy;smog and overconfide;spew hex;late;duh anti overgeneralize;gracefully
4;partnership given;meanwhile wholly yet;oldie at gadget;the if frankly;eek fledgling absent;atop terminology
5;whoever serval triumphantly;boo blah;disabuse when;lest amalgamate now;even hmph;red catamaran strange
6;mmm hairy;incompetence inexper;gybe yuck;at aware;gladly;scarce half-brother
7;easy portion attribute;clear;unless afore;carefully pfft;than athwart;immediately unless
8;from congratulate;unnecessarily litter;mortified apprehensive;weary purge;by whoever afore;than ultimately
9;after;paltry which;meanwhile boohoo;diligently;referendum who brake;majestic chemical even
10;formation misplacement incidentally;yum loosely jaunty;impeccable worth program;boo aside;anenst;gullible now off
