id;aangevraagdbedrag;datumindiening;kenmerk;ontvangstbevestiging;verwachtebeschikking;betreft_subsidie_id;mondtuit_subsidiebeschikking_id
1;29610.03;2024-05-06;geez;2024-05-06;2024-05-05;1;1
2;12596.62;2024-05-05;under;2024-05-06;2024-05-05;2;2
3;18203.24;2024-05-06;consequently;2024-05-05;2024-05-05;3;3
4;3802.72;2024-05-05;that;2024-05-06;2024-05-06;4;4
5;16318.28;2024-05-05;woot but belligerency;2024-05-06;2024-05-06;5;5
6;28309.33;2024-05-05;er ficlet until;2024-05-06;2024-05-06;6;6
7;21164.95;2024-05-05;aha;2024-05-06;2024-05-05;7;7
8;14893.1;2024-05-05;unexpectedly jaggedly;2024-05-06;2024-05-05;8;8
9;17367.18;2024-05-05;steep;2024-05-06;2024-05-05;9;9
10;4242.97;2024-05-05;gelatin sandbag;2024-05-05;2024-05-06;10;10
