id;adresaanduiding;naam;omschrijving
1;inwardly except;firebomb gosh;if blare
2;poised past huzzah;yellow spectrograph tomorrow;chemotaxis
3;towards mother;outfielder triumphantly as;out
4;boo amidst;hawk vice;hence sharply
5;infuse organizing;ah;good-natured boohoo ginger
6;burly natural reacquaint;depression;opposite barley
7;worth inasmuch;cemetery;safely utterly
8;or supposing since;ew athwart unwieldy;or meh
9;through;memorial;self-reliant not reanimate
10;silver fully nor;reversal suspiciously past;as ick now
