id;aantalkassa;bronwvo;leegstand;winkelvloeroppervlakte;wvoklasse
1;dizzy pug so;under temper;yuck tool;blah;impassioned finally
2;scout barren;impressionable yowza under;involve at;zowie innocently especially;if
3;chives;empower disable oof;pipe zowie;leap;gallivant wowee
4;yowza;bundle;kookily pro sense;selection mmm ambush;following yum
5;sprinter;unless gravy;recklessly;time mid;hurtful
6;informal notwithstanding;ouch picket notwithstanding;aboard solvency guidance;furthermore;um aw
7;beneath;fooey;why throughout;because;juvenile repent fire
8;encyclopedia debug over;underneath regularly;obnoxiously woefully;rap;insurance aside accomplished
9;immaculate;frankly through;contest;yowza plaintive offensively;incidentally
10;whenever;within overproduce modulo;loftily;mushy brightly sticky;ouch frightfully
