id;aantalbedrijfsaansluitingen;aantalhuisaansluitingen;aantalpompen;bedienaar;effectievegemaalcapaciteit;hijsinrichting;lanceerinrichting;pompeninsamenloop;type;veiligheidsrooster
1;past as knottily;commonly;scar;convention;acidly suspension;false;false;false;rarely;true
2;kookily;box;yippee usually automatic;happily nervously ha;jovially why;false;false;false;although cede mundane;true
3;blindly array scientific;provided spirited;everlasting athwart crisp;fleck;ick fortunately;false;false;false;gosh;false
4;next distress yippee;wakeboard clearly triumphantly;blah calmly gently;sometimes pish;shakily beyond;false;false;true;ugh dismount afterwards;true
5;uncomfortable fooey save;why awful awe;initiate;how;subject as oh;true;false;true;gah sans incidentally;false
6;failing for which;protect;control poppy;plus anti;formulate gray;false;false;true;pocket whose;true
7;dovetail needily;seldom tenderly oblong;concerning growl;wetly;since;false;true;true;geez utterly;false
8;if frantically;who;medical;wildly ah;poll indeed;true;true;false;swank;false
9;landscape;understate munch when;deceivingly hence;furthermore;element;true;false;true;lord producer blah;true
10;nor banking elementary;fracture;political;wearily yearly self-assured;gloomy round upward;false;true;false;wide full;false
