id;aangemaaktdoor;aanmaakdatum;bedragexclbtw;bedraginclbtw;btwcategorie;gemuteerddoor;mutatiedatum;omschrijving;periodiek;type
1;till;2024-05-06;worth CD;regarding;glug;er yet;2024-05-06;fast;arrow lucky annually;plant untried ephyra
2;blah loosely likewise;2024-05-06;doze knowledge;midst nurse eyelashes;brilliant absentmindedly yippee;enthusiastically aboard inflation;2024-05-06;strictly extroverted yuck;apud;beloved
3;infuriate the;2024-05-05;fibre;among solemnly;kindly plunk;journey that huzzah;2024-05-05;snitch hm;falter finally flood;rich yum
4;whoa lawn soil;2024-05-06;yawn vegetable loftily;mmm meanwhile joshingly;who;torn;2024-05-05;traffic failing;circa revalue strip;toward
5;throughout;2024-05-06;but cohort iconify;questioningly rubberneck;supposing circa;absent er;2024-05-05;blindly;businessman while unabashedly;considering furthermore safely
6;knavishly;2024-05-06;gladly mockingly boohoo;pinstripe fibroblast once;slimy between;provided less;2024-05-05;ew righteously;following;alongside dub indeed
7;vastly interchange below;2024-05-06;until;er;after;consequently;2024-05-05;lettuce without;wearily about rhyme;release hmph
8;durian skullcap;2024-05-06;inasmuch;during ecclesia tasty;separately desire;anything psst alfalfa;2024-05-05;uh-huh yuck;of bold;replenish what
9;brief;2024-05-05;wise whose;staid;triumphantly;constrain;2024-05-06;wealthy zowie;whether;gingerbread yum
10;towards save;2024-05-05;finally excluding;which plunder aboard;happily sanitize deceive;consequently since;2024-05-05;likewise nor;whether yum phooey;recover
