id;eindtijd;ritcode;starttijd
1;nor;doting assist;flustered
2;boo but or;lest skullduggery shoes;ruffle wonderfully meh
3;because nor;boldly aha charming;loyal consequently pungent
4;hm chubby;glee;cyst instead
5;ah netbook fairly;selfishly ick;trivial atop quotation
6;feud nimble;gladly apud gratefully;and
7;geez;mid apprentice;caramelize hm
8;intensely reappear provided;vegetarian whoa barring;migrant
9;aha correctly skew;what naive ugh;inasmuch unroll
10;ouch chopsticks terribly;questioningly;partake shiver talk
