id;datumbegingeldigheidoverigescheiding;datumeindegeldigheidoverigescheiding;geometrieoverigescheiding;identificatieoverigescheiding;lod_0_geometrieoverigescheiding;lod_1_geometrieoverigescheiding;lod_2_geometrieoverigescheiding;lod_3_geometrieoverigescheiding;relatievehoogteliggingoverigescheiding;statusoverigescheiding;typeoverigescheiding
1;2024-05-05;2024-05-05;sole;worth clearly;before important kookily;oof glum although;obligation prejudice;few;except ferociously;disillusion while whose;idle summit yearly
2;2024-05-05;2024-05-06;whoa;clearly tattoo fervently;obediently who considering;doting prioritise once;certainly round bare;silver;wrong;prudent;wretched before
3;2024-05-05;2024-05-06;absent reissue off;boohoo;deafening geez reassert;wherever;barring apropos violent;usefully considering;response among;nor briefly loose;whereas off whose
4;2024-05-05;2024-05-06;near unless required;revenue;eek bend;legal knickers;hideous embody how;undervalue;lesson er;er;that mid supposing
5;2024-05-05;2024-05-06;drat;woot kindheartedly;though;throughout past;elliptical mmm;french;or between;sandblast;rewire as concerning
6;2024-05-05;2024-05-06;sans;extrapolate;fuzzy;aerate;clearly;whenever gee household;gah;worth reacquaint adventurous;treasured yuck
7;2024-05-06;2024-05-05;opposite within;sans;vague;reason drafty furthermore;whether bouquet;psst;whether quaintly;brr;zowie boohoo
8;2024-05-05;2024-05-05;across intensely;while glorify triumphantly;up;postmark amused minion;lack;considering faithful;though quaintly;seemingly while eicosanoid;subdued
9;2024-05-06;2024-05-06;and;while unequaled;elementary fringe rod;reproachfully deflect gain;and wardrobe sans;gah on;charge even;aside reluctantly rail;until
10;2024-05-06;2024-05-06;nicely stem;messy provided harry;partially wearily molt;violently;lonely;grand;wherever so eventually;bankruptcy;staple without circa
